#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
Otu1	Cynoglossus oligolepis voucher ISGBS42 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MH235629	366921	72.115	99	3.91e-38	163	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus oligolepis
Otu1	Gonioscelis ventralis voucher USNM:ENT:00914045 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KT733174	468734	72.789	95	3.91e-38	163	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Asilidae / Gonioscelis / Gonioscelis ventralis
Otu1	Marphysa sanguinea voucher LMBSAP23-002 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KR916873	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher LMBSAP23-001 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KR916872	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher FTP_2317 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254802	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher WCH_0041 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254644	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher FTP_2334 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254643	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher FTP_2369 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254537	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher FTP_0687 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254503	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Marphysa sanguinea voucher WCH_0033 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KP254223	167828	72.115	99	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Scolopendra cingulata voucher ZFMK-Sco-15 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812083	41365	73.381	89	3.91e-38	163	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-Sco-25 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812081	41365	73.381	89	3.91e-38	163	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Mecistocephalus marmoratus mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, specimen_voucher: SYSU:Chilo-199	AB610773	980230	72.789	95	3.91e-38	163	Genbank	Eukaryota / Arthropoda / Chilopoda / Geophilomorpha / Mecistocephalidae / Mecistocephalus / Mecistocephalus marmoratus
Otu1	Marphysa sanguinea cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	AY040708	167828	72.313	98	3.91e-38	163	Genbank	Eukaryota / Annelida / Polychaeta / Eunicida / Eunicidae / Marphysa / Marphysa sanguinea
Otu1	Uroteuthis sp. Ba03 isolate U.spBa03 cytochrome oxidase subunit I gene, partial cds; mitochondrial	KY019113	1986004	71.845	99	1.36e-37	161	Genbank	Eukaryota / Mollusca / Cephalopoda / Teuthida / Loliginidae / Uroteuthis / Uroteuthis sp. Ba03
Otu1	Loliolus sp. Ba02 isolate U.spBa02 cytochrome oxidase subunit I gene, partial cds; mitochondrial	KY019112	1986003	71.845	99	1.36e-37	161	Genbank	Eukaryota / Mollusca / Cephalopoda / Teuthida / Loliginidae / Loliolus / Loliolus sp. Ba02
Otu1	Loliolus beka isolate Loliolus.sp91Ba cytochrome oxidase subunit I gene, partial cds; mitochondrial	KY019097	948794	71.845	99	1.36e-37	161	Genbank	Eukaryota / Mollusca / Cephalopoda / Teuthida / Loliginidae / Loliolus / Loliolus beka
Otu1	Loliolus beka isolate Uro41Ba cytochrome oxidase subunit I gene, partial cds; mitochondrial	KY019072	948794	71.845	99	1.36e-37	161	Genbank	Eukaryota / Mollusca / Cephalopoda / Teuthida / Loliginidae / Loliolus / Loliolus beka
Otu1	Rhagidiidae sp. BOLD:ACC0916 voucher BIOUG04392-G02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KM830046	1687977	71.906	96	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Arachnida / Trombidiformes / Rhagidiidae / unknown genus / Rhagidiidae sp. BOLD:ACC0916
Otu1	Scolopendra cingulata voucher ZFMK-MYR-00583 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812085	41365	73.665	90	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata voucher ZFMK-MYR-01561 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812079	41365	73.801	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Patmos2A cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688429	41365	73.741	89	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Nisyros5 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688425	41365	72.662	89	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Seychellum alluaudi isolate LaGogue7 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799345	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate LaGogue2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799340	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate Morne3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799321	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate LeNiol3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799317	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate Montage5 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799314	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate Montage3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799312	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Seychellum alluaudi isolate Montage2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	JF799311	168678	73.234	87	1.36e-37	161	Genbank	Eukaryota / Arthropoda / Malacostraca / Decapoda / Potamonautidae / Seychellum / Seychellum alluaudi
Otu1	Cynoglossus arel isolate A22 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	MG052941	1472221	72.131	97	4.76e-37	159	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus arel
Otu1	Sphaeroceridae sp. BIOUG02394-D12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KY831108	1990427	73.064	95	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Sphaeroceridae / unknown genus / Sphaeroceridae sp. BIOUG02394-D12
Otu1	Scolopendra cingulata voucher ZFMK-Sco-13 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KJ812082	41365	73.022	89	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Cynoglossus attenuatus voucher Smith 261.2 #5 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	JF493318	1003721	71.885	100	4.76e-37	159	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus attenuatus
Otu1	Cynoglossus attenuatus voucher Smith 261.2 #7_05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	JF493317	1003721	71.885	100	4.76e-37	159	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus attenuatus
Otu1	Scolopendra cingulata isolate Nisyros4 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688424	41365	72.662	89	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Scolopendra cingulata isolate Antiparos cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688401	41365	73.571	89	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Diptera sp. BOLD:AAP5120 voucher BIOUG<CAN>:PCPP10-0305 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	JF867788	1020351	72.696	94	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / unknown family / unknown genus / Diptera sp. BOLD:AAP5120
Otu1	Polypedilum cf. halterale BOLD:AAP5120 voucher 5W17 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KR085262	1672293	72.696	94	4.76e-37	159	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Chironomidae / Polypedilum / Polypedilum cf. halterale BOLD:AAP5120
Otu1	Cynoglossus arel voucher USNM:444134 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	MH235626	1472221	71.795	99	1.66e-36	158	Genbank	Eukaryota / Chordata / Actinopteri / Pleuronectiformes / Cynoglossidae / Cynoglossus / Cynoglossus arel
Otu1	Aricidea sp. 2 SS-2017 isolate Vd3bPr cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial	KY805818	2066877	72.727	89	1.66e-36	158	Genbank	Eukaryota / Annelida / Polychaeta / unknown order / Paraonidae / Aricidea / Aricidea sp. 2 SS-2017
Otu1	Brachyopa punctipennis voucher BIOUG04346-B01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KR433288	1749358	73.358	88	1.66e-36	158	Genbank	Eukaryota / Arthropoda / Insecta / Diptera / Syrphidae / Brachyopa / Brachyopa punctipennis
Otu1	Tachypleus gigas isolate M3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial	KU880543	6852	72.241	96	1.66e-36	158	Genbank	Eukaryota / Arthropoda / Merostomata / Xiphosura / Limulidae / Tachypleus / Tachypleus gigas
Otu1	Aradus depressus voucher EUBUG_117_f_Araddepr2 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial	KM022626	1452771	71.336	99	1.66e-36	158	Genbank	Eukaryota / Arthropoda / Insecta / Hemiptera / Aradidae / Aradus / Aradus depressus
Otu1	Scolopendra cingulata isolate Kythnos1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial	JN688415	41365	74.046	84	1.66e-36	158	Genbank	Eukaryota / Arthropoda / Chilopoda / Scolopendromorpha / Scolopendridae / Scolopendra / Scolopendra cingulata
Otu1	Tachypleus gigas voucher AKB131 cytochrome oxidase subunit I (COX1) gene, partial cds; mitochondrial	JF896113	6852	72.241	96	1.66e-36	158	Genbank	Eukaryota / Arthropoda / Merostomata / Xiphosura / Limulidae / Tachypleus / Tachypleus gigas
